BankruptcyDate,FilingDate,FilingType,BankruptcyChapter,CourtName,CaseNumber,AccessionNumber,FilingURL,CIK,CompanyName,exchange,IndustrySICCode,FiscalYearEnd,BusinessAddressState,BusinessAddressZIPCode,BusinessAddressCity,BusinessAddressStreet,BusinessAddressHouseNumber,StateOfIncorporation,Website,InvestorWebsite,SIC,SICDescription
2024-09-10,2024-09-16,8-K,,,,0001551163-24-000036,https://www.sec.gov/Archives/edgar/data/1811999/000155116324000036/0001551163-24-000036.txt,0001811999,"FARMHOUSE, INC. /NV  (FMHS)  (CIK 0001811999)",OTC,7370,,,,"SAN FRANCISCO","MARKET ST. STE 488",1355,NV,,,7370,"Services-Computer Programming, Data Processing, Etc."
,2024-10-10,8-K,,,,0002012839-24-000013,,0002012839,"KKR Enhanced US Direct Lending Fund-L Inc.  (CIK 0002012839)",,,,,,"SAN FRANCISCO","CALIFORNIA STREET, 50TH FLOOR",555,DE,,,,
2024-09-19,2024-09-20,8-K,,,twithstanding,0001493152-24-037588,https://www.sec.gov/Archives/edgar/data/2024203/000149315224037588/0001493152-24-037588.txt,0002024203,"Cayson Acquisition Corp  (CAPN)  (CIK 0002024203)",Nasdaq,6770,,,,"NEW YORK","W 37TH ST",205,E9,,,6770,"Blank Checks"
2024-05-13,2024-05-16,8-K,,,,0001096343-24-000066,https://www.sec.gov/Archives/edgar/data/1096343/000109634324000066/0001096343-24-000066.txt,0001096343,"MARKEL GROUP INC.  (MKL)  (CIK 0001096343)",NYSE,6331,,,,"GLEN ALLEN","HIGHWOODS PARKWAY",4521,VA,,,6331,"Fire, Marine & Casualty Insurance"
2024-11-06,2024-11-08,8-K,,,,0001104659-24-115900,https://www.sec.gov/Archives/edgar/data/1372299/000110465924115900/0001104659-24-115900.txt,0001372299,"Ocugen, Inc.  (OCGN)  (CIK 0001372299)",Nasdaq,2836,,,,MALVERN,"GREAT VALLEY PARKWAY",11,DE,,,2836,"Biological Products, (No Diagnostic Substances)"
2024-05-14,2024-05-14,8-K,,,,0001104659-24-061218,https://www.sec.gov/Archives/edgar/data/1091667/000110465924061218/0001104659-24-061218.txt,0001091667,"CHARTER COMMUNICATIONS, INC. /MO/  (CHTR)  (CIK 0001091667)",Nasdaq,4841,,,,STAMFORD,"WASHINGTON BLVD.",400,,,,4841,"Cable & Other Pay Television Services"
2023-09-07,2024-02-07,8-K,,,,0001193125-24-025908,https://www.sec.gov/Archives/edgar/data/1868573/000119312524025908/0001193125-24-025908.txt,0001868573,"APx Acquisition Corp. I  (APXI, APXIU, APXIW)  (CIK 0001868573)",OTC,6770,,,,"GRAND CAYMAN","HOUSE PO BOX 309",UGLAND,,,,6770,"Blank Checks"
2024-01-30,2024-01-31,8-K,,,,0001437749-24-002651,https://www.sec.gov/Archives/edgar/data/1556727/000143774924002651/0001437749-24-002651.txt,0001556727,"First Northwest Bancorp  (FNWB)  (CIK 0001556727)",Nasdaq,6036,,,,"PORT ANGELES","WEST 8TH STREET",105,WA,,,6036,"Savings Institutions, Not Federally Chartered"
2024-08-30,2024-09-12,8-K,,,,0001663577-24-000253,https://www.sec.gov/Archives/edgar/data/1442999/000166357724000253/0001663577-24-000253.txt,0001442999,"ALTEROLA BIOTECH INC.  (ABTI)  (CIK 0001442999)",,2833,,,,"BIRKENHEAD MERSEYSIDE","HAMILTON SQUARE",47,,,,2833,"Medicinal Chemicals & Botanical Products"
1970-01-01,2024-12-06,8-K,,,twithstanding,0001213900-24-106441,https://www.sec.gov/Archives/edgar/data/2020385/000121390024106441/0001213900-24-106441.txt,0002020385,"Tavia Acquisition Corp.  (CIK 0002020385)",Nasdaq,6770,,,,NEWARK,"LIBRARY AVENUE SUITE 204",850,E9,,,6770,"Blank Checks"
2024-04-05,2024-04-05,8-K,,,,0001140361-24-018346,https://www.sec.gov/Archives/edgar/data/1576018/000114036124018346/0001140361-24-018346.txt,0001576018,"SiriusPoint Ltd  (SPNT, SSPFF, SPNT-PB)  (CIK 0001576018)",NYSE,6331,,,,"NEW YORK","WORLD TRADE CENTER 285 FULTON STREET, 47TH FLOOR",ONE,D0,,,6331,"Fire, Marine & Casualty Insurance"
2024-04-04,2024-04-04,8-K,,,,0001193125-24-086858,https://www.sec.gov/Archives/edgar/data/81018/000119312524086858/0001193125-24-086858.txt,0000081018,"PUBLIC SERVICE CO OF COLORADO  (CIK 0000081018)",,4931,,,,DENVER,"BLAKE STREET",3500,CO,,,4931,"Electric & Other Services Combined"
2024-06-21,2024-06-27,8-K,,,t,0001437749-24-021442,https://www.sec.gov/Archives/edgar/data/1175535/000143774924021442/0001437749-24-021442.txt,0001175535,"Whitestone REIT  (WSR)  (CIK 0001175535)",NYSE,6798,,,,HOUSTON,"SOUTH GESSNER SUITE 500",2600,TX,,,6798,"Real Estate Investment Trusts"
2024-04-23,2024-04-26,8-K,"Chapter 11","United States Bankruptcy Court pursuant to chapter 11 of Title 11 of the United States Code, (d)  the date in which the United States Bankruptcy Court enters an order of conversion from a  chapter 11 case described in clause (iii)(c), or (e) dismissal of a chapter 11 case described in  clause (iii)(c). If prior to the end of the applicable Retention Period you voluntarily terminate  your employment with the Company (other than as a result of your death or Disability) or if your  employment is terminated by the Company for Cause, you hereby agree that you will re-pay to  the Company the portion of the Retention Bonus and Additional Retention Bonus that you  </FONT></DIV>",,0001367644-24-000053,https://www.sec.gov/Archives/edgar/data/1367644/000136764424000053/0001367644-24-000053.txt,0001367644,"Emergent BioSolutions Inc.  (EBS)  (CIK 0001367644)",NYSE,2834,,,,GAITHERSBURG,"PROFESSIONAL DR",300,DE,,,2834,"Pharmaceutical Preparations"
2025-02-10,2024-06-25,8-K,,,,0001193125-24-167530,https://www.sec.gov/Archives/edgar/data/1847355/000119312524167530/0001193125-24-167530.txt,0001847355,"Target Global Acquisition I Corp.  (TGAA, TGAAU, TGAAW)  (CIK 0001847355)",OTC,6770,,,,"GRAND CAYMAN","HOUSE PO BOX 309",UGLAND,E9,,,6770,"Blank Checks"
2024-05-30,2024-06-03,8-K,,,t,0000950170-24-067888,https://www.sec.gov/Archives/edgar/data/1771514/000095017024067888/0000950170-24-067888.txt,0001771514,"ExchangeRight Income Fund  (CIK 0001771514)",,6798,,,,PASADENA,"E. COLORADO BLVD., SUITE 310 NONE",1055,MD,,,6798,"Real Estate Investment Trusts"
2024-03-15,2024-03-15,8-K,,,,0001104659-24-035082,https://www.sec.gov/Archives/edgar/data/1477845/000110465924035082/0001104659-24-035082.txt,0001477845,"Annovis Bio, Inc.  (ANVS)  (CIK 0001477845)",NYSE,2834,,,,MALVERN,"LINDENWOOD DRIVE, SUITE 225",101,DE,,,2834,"Pharmaceutical Preparations"
2024-09-05,2024-09-06,8-K,,,,0000950170-24-104410,https://www.sec.gov/Archives/edgar/data/100726/000095017024104410/0000950170-24-104410.txt,0000100726,"UNIFI INC  (UFI)  (CIK 0000100726)",NYSE,2200,,,,GREENSBORO,"WEST FRIENDLY RD P O BOX 19109",7201,NY,,,2200,"Textile Mill Products"
2024-05-13,2024-05-14,8-K,,,,0001193125-24-137743,https://www.sec.gov/Archives/edgar/data/1492422/000119312524137743/0001193125-24-137743.txt,0001492422,"Apellis Pharmaceuticals, Inc.  (APLS)  (CIK 0001492422)",Nasdaq,2834,,,,WALTHAM,"FIFTH AVENUE",100,DE,,,2834,"Pharmaceutical Preparations"
2024-02-28,2024-02-28,8-K,,,,0001193125-24-050838,https://www.sec.gov/Archives/edgar/data/1534701/000119312524050838/0001193125-24-050838.txt,0001534701,"Phillips 66  (PSX)  (CIK 0001534701)",NYSE,2911,,,,HOUSTON,"CITYWEST BLVD.",2331,DE,,,2911,"Petroleum Refining"
2024-11-14,2024-11-18,8-K,,,t,0001193125-24-260928,https://www.sec.gov/Archives/edgar/data/1736946/000119312524260928/0001193125-24-260928.txt,0001736946,"Arlo Technologies, Inc.  (ARLO)  (CIK 0001736946)",NYSE,3651,,,,CARLSBAD,"FLEET STREET",5770,DE,,,3651,"Household Audio & Video Equipment"
2024-05-10,2024-05-09,8-K,,,,0001193125-24-135331,https://www.sec.gov/Archives/edgar/data/1130310/000119312524135331/0001193125-24-135331.txt,0001130310,"CENTERPOINT ENERGY INC  (CNP)  (CIK 0001130310)",NYSE,4911,,,,HOUSTON,"LOUISIANA ST.",1111,TX,,,4911,"Electric Services"
2024-03-20,2024-03-26,8-K,,,,0001104659-24-039035,https://www.sec.gov/Archives/edgar/data/1093691/000110465924039035/0001104659-24-039035.txt,0001093691,"PLUG POWER INC  (PLUG)  (CIK 0001093691)",Nasdaq,3620,,,,SLINGERLANDS,"VISTA BOULEVARD",125,DE,,,3620,"Electrical Industrial Apparatus"
2024-08-05,2024-08-06,8-K,,,,0001140361-24-035951,https://www.sec.gov/Archives/edgar/data/1609809/000114036124035951/0001140361-24-035951.txt,0001609809,"Seres Therapeutics, Inc.  (MCRB)  (CIK 0001609809)",Nasdaq,2834,,,,CAMBRIDGE,"SIDNEY STREET",200,DE,,,2834,"Pharmaceutical Preparations"
2024-11-25,2024-11-26,8-K,,,t,0001213900-24-102813,https://www.sec.gov/Archives/edgar/data/1972529/000121390024102813/0001213900-24-102813.txt,0001972529,"Armlogi Holding Corp.  (BTOC)  (CIK 0001972529)",Nasdaq,4220,,,,WALNUT,"EAST WALNUT DRIVE NORTH",20301,NV,,,4220,"Public Warehousing & Storage"
2024-02-26,2024-02-28,8-K,,,,0000092122-24-000034,https://www.sec.gov/Archives/edgar/data/92122/000009212224000034/0000092122-24-000034.txt,0000092122,"SOUTHERN CO  (SO, SOJC, SOJD, SOJE)  (CIK 0000092122)",NYSE,4911,,,,ATLANTA,"IVAN ALLEN JR. BLVD., N.W.",30,DE,,,4911,"Electric Services"
2024-02-27,2024-02-28,8-K,,,,0000783324-24-000014,https://www.sec.gov/Archives/edgar/data/783324/000078332424000014/0000783324-24-000014.txt,0000783324,"VISTA GOLD CORP  (VGZ)  (CIK 0000783324)",NYSE,1040,,,,ENGLEWOOD,"S. VALLEY HWY, SUITE 300",8310,,,,1040,"Gold and Silver Ores"
2024-05-06,2024-05-06,8-K,,,,0001193125-24-131927,https://www.sec.gov/Archives/edgar/data/65984/000119312524131927/0001193125-24-131927.txt,0000065984,"ENTERGY CORP /DE/  (ETR)  (CIK 0000065984)",NYSE,4911,,,,"NEW ORLEANS","LOYOLA AVE",639,DE,,,4911,"Electric Services"
2024-08-01,2024-08-01,8-K,,,,0001753926-24-001333,https://www.sec.gov/Archives/edgar/data/1347242/000175392624001333/0001753926-24-001333.txt,0001347242,"LIPELLA PHARMACEUTICALS INC.  (LIPO)  (CIK 0001347242)",OTC,2834,,,,PITTSBURGH,"N LEXINGTON ST STE LL103",400,DE,,,2834,"Pharmaceutical Preparations"
2024-04-18,2024-04-19,8-K,,,,0001355848-24-000059,https://www.sec.gov/Archives/edgar/data/1355848/000135584824000059/0001355848-24-000059.txt,0001355848,"Kartoon Studios, Inc.  (TOON)  (CIK 0001355848)",NYSE,7812,,,,"BEVERLY HILLS","N. CANON 4TH FLOOR",190,NV,,,7812,"Services-Motion Picture & Video Tape Production"
2024-06-12,2024-06-12,8-K,,,,0000078890-24-000225,https://www.sec.gov/Archives/edgar/data/78890/000007889024000225/0000078890-24-000225.txt,0000078890,"BRINKS CO  (BCO)  (CIK 0000078890)",NYSE,4731,,,,RICHMOND,"BAYBERRY COURT P O BOX 18100",1801,VA,,,4731,"Arrangement of  Transportation of  Freight & Cargo"
,2024-09-10,8-K,,,,0001193125-24-216701,https://www.sec.gov/Archives/edgar/data/813672/000119312524216701/0001193125-24-216701.txt,0000813672,"CADENCE DESIGN SYSTEMS INC  (CDNS)  (CIK 0000813672)",Nasdaq,7372,,,,"SAN JOSE","SEELY AVENUE BLDG 5",2655,DE,,,7372,"Services-Prepackaged Software"
2024-09-23,2024-09-23,8-K,,,,0001842952-24-000083,https://www.sec.gov/Archives/edgar/data/1842952/000184295224000083/0001842952-24-000083.txt,0001842952,"Context Therapeutics Inc.  (CNTX)  (CIK 0001842952)",Nasdaq,2834,,,,PHILADELPHIA,"MARKET STREET SUITE 3915 UNIT #15",2001,DE,,,2834,"Pharmaceutical Preparations"
2024-02-04,2024-02-08,8-K,,,,0000950170-24-012756,https://www.sec.gov/Archives/edgar/data/1816017/000095017024012756/0000950170-24-012756.txt,0001816017,"Spire Global, Inc.  (SPIR)  (CIK 0001816017)",NYSE,4899,,,,VIENNA,"TOWERS CRESCENT DRIVE SUITE 1225",8000,DE,,,4899,"Communications Services, NEC"
2024-05-22,2024-05-09,8-K,,,,0001193125-24-134735,https://www.sec.gov/Archives/edgar/data/1383650/000119312524134735/0001193125-24-134735.txt,0001383650,"Cheniere Energy Partners, L.P.  (CQP)  (CIK 0001383650)",NYSE,4924,,,,HOUSTON,"TEXAS AVENUE SUITE 1250",845,DE,,,4924,"Natural Gas Distribution"
2024-01-09,2024-01-10,8-K,,,,0001193125-24-006033,https://www.sec.gov/Archives/edgar/data/16918/000119312524006033/0001193125-24-006033.txt,0000016918,"CONSTELLATION BRANDS, INC.  (STZ)  (CIK 0000016918)",NYSE,2080,,,,ROCHESTER,"EAST BROAD STREET",50,DE,,,2080,Beverages
2024-01-29,2024-01-29,8-K,,,,0001193125-24-018167,https://www.sec.gov/Archives/edgar/data/35527/000119312524018167/0001193125-24-018167.txt,0000035527,"FIFTH THIRD BANCORP  (FITB, FITBI, FITBO, FITBP)  (CIK 0000035527)",Nasdaq,6022,,,,CINCINNATI,"FOUNTAIN SQ PLZ FIFTH THIRD CENTER",38,OH,,,6022,"State Commercial Banks"
2024-11-26,2024-11-26,8-K,,,t,0001104659-24-123076,https://www.sec.gov/Archives/edgar/data/1698990/000110465924123076/0001104659-24-123076.txt,0001698990,"Magnolia Oil & Gas Corp  (MGY)  (CIK 0001698990)",NYSE,1311,,,,HOUSTON,"GREENWAY PLAZA SUITE 1300",NINE,DE,,,1311,"Crude Petroleum & Natural Gas"
2024-03-25,2024-03-25,8-K,,,,0001628280-24-012833,https://www.sec.gov/Archives/edgar/data/828944/000162828024012833/0001628280-24-012833.txt,0000828944,"WSFS FINANCIAL CORP  (WSFS)  (CIK 0000828944)",Nasdaq,6021,,,,WILMINGTON,"DELAWARE AVENUE",500,DE,,,6021,"National Commercial Banks"
2024-08-07,2024-08-07,8-K,,,,0001193125-24-196053,https://www.sec.gov/Archives/edgar/data/813828/000119312524196053/0001193125-24-196053.txt,0000813828,"Paramount Global  (PARA, PARAA)  (CIK 0000813828)",Nasdaq,4833,,,,"NEW YORK",BROADWAY,1515,DE,,,4833,"Television Broadcasting Stations"
2024-07-26,2024-07-26,8-K,,,,0000784977-24-000137,https://www.sec.gov/Archives/edgar/data/784977/000078497724000137/0000784977-24-000137.txt,0000784977,"PORTLAND GENERAL ELECTRIC CO /OR/  (POR)  (CIK 0000784977)",NYSE,4911,,,,PORTLAND,"SW SALMON ST 1WTC0501",121,OR,,,4911,"Electric Services"
2024-04-11,2024-04-12,8-K,,,,0001493152-24-014367,https://www.sec.gov/Archives/edgar/data/1730773/000149315224014367/0001493152-24-014367.txt,0001730773,"Blue Star Foods Corp.  (BSFC)  (CIK 0001730773)",OTC,2092,,,,"WEST PALM BEACH","CLEMATIS STREET SUITE 217",3330,DE,,,2092,"Prepared Fresh or  Frozen Fish & Seafoods"
2024-10-29,2024-10-30,8-K,,,,0001554855-24-000724,https://www.sec.gov/Archives/edgar/data/1823652/000155485524000724/0001554855-24-000724.txt,0001823652,"Eve Holding, Inc.  (EVEX, EVEX-WT)  (CIK 0001823652)",NYSE,3721,,,,MELBOURNE,"GENERAL AVIATION DRIVE",1400,,,,3721,Aircraft
2025-11-24,2024-11-19,8-K,,,,0001193125-24-261374,https://www.sec.gov/Archives/edgar/data/1808834/000119312524261374/0001193125-24-261374.txt,0001808834,"PROG Holdings, Inc.  (PRG)  (CIK 0001808834)",NYSE,7359,,,,DRAPER,"W. DATA DRIVE",256,GA,,,7359,"Services-Equipment Rental & Leasing, NEC"
2025-09-29,2024-04-03,8-K,,,t,0001193125-24-086079,https://www.sec.gov/Archives/edgar/data/1597033/000119312524086079/0001193125-24-086079.txt,0001597033,"Sabre Corp  (SABR)  (CIK 0001597033)",Nasdaq,7370,,,,SOUTHLAKE,"SABRE DRIVE",3150,DE,,,7370,"Services-Computer Programming, Data Processing, Etc."
2023-12-29,2024-01-02,8-K,,,,0001493152-24-000143,https://www.sec.gov/Archives/edgar/data/1898766/000149315224000143/0001493152-24-000143.txt,0001898766,"Trio Petroleum Corp.  (TPET)  (CIK 0001898766)",NYSE,1311,,,,BAKERSFIELD,"BUSINESS PARK, SUITE 115",5401,DE,,,1311,"Crude Petroleum & Natural Gas"
2024-12-27,2024-12-30,8-K,,,twithstanding,0000950103-24-018479,https://www.sec.gov/Archives/edgar/data/1356090/000095010324018479/0000950103-24-018479.txt,0001356090,"PRECIGEN, INC.  (PGEN)  (CIK 0001356090)",Nasdaq,2834,,,,GERMANTOWN,"SENECA MEADOWS PARKWAY",20374,VA,,,2834,"Pharmaceutical Preparations"
2023-12-29,2024-01-04,8-K,,,,0001104659-24-001172,https://www.sec.gov/Archives/edgar/data/1879848/000110465924001172/0001104659-24-001172.txt,0001879848,"PHOENIX MOTOR INC.  (PEV)  (CIK 0001879848)",,3713,,,,ONTARIO,"SOUTH DOUBLEDAY AVENUE",401,DE,,,3713,"Truck & Bus Bodies"
2024-08-02,2024-08-02,8-K,,,such,0000950170-24-089995,https://www.sec.gov/Archives/edgar/data/1340476/000095017024089995/0000950170-24-089995.txt,0001340476,"DIRTT ENVIRONMENTAL SOLUTIONS LTD  (DESLF, DRTTF)  (CIK 0001340476)",OTC,7372,,,,"CALGARY ALBERTA T2C 1N6 CAN","30 ST S E",7303,A0,,,7372,"Services-Prepackaged Software"
2024-01-25,2024-01-29,8-K,"Chapter 7",,,0001213900-24-007433,https://www.sec.gov/Archives/edgar/data/1880343/000121390024007433/0001213900-24-007433.txt,0001880343,"Fresh Vine Wine, Inc.  (VINE)  (CIK 0001880343)",NYSE,5961,,,,"NEWPORT BEACH","WEST COAST HWY SUITE 200",2901,NV,,,5961,"Retail-Catalog & Mail-Order Houses"
2024-02-08,2024-02-08,8-K,,,,0000950170-24-012860,https://www.sec.gov/Archives/edgar/data/1675033/000095017024012860/0000950170-24-012860.txt,0001675033,"Great Elm Capital Corp.  (GECC, GECCI, GECCM, GECCO, GECCZ)  (CIK 0001675033)",Nasdaq,,,,,"PALM BEACH GARDENS","PGA BOULEVARD SUITE 603",3801,MD,,,,
2024-01-25,2024-01-26,8-K,,,,0001628280-24-002377,https://www.sec.gov/Archives/edgar/data/1496099/000162828024002377/0001628280-24-002377.txt,0001496099,"New Mountain Finance Corp  (NMFC, NMFCZ)  (CIK 0001496099)",Nasdaq,,,,,"NEW YORK","BROADWAY 48TH FLOOR",1633,X1,,,,
2024-12-24,2024-12-27,8-K,,,t,0001193125-24-285332,https://www.sec.gov/Archives/edgar/data/1705873/000119312524285332/0001193125-24-285332.txt,0001705873,"Berry Corp (bry)  (BRY)  (CIK 0001705873)",Nasdaq,1311,,,,DALLAS,"N. DALLAS PARKWAY, SUITE 500",16000,DE,,,1311,"Crude Petroleum & Natural Gas"
2024-12-09,2024-12-11,8-K,,,,0000025445-24-000100,https://www.sec.gov/Archives/edgar/data/25445/000002544524000100/0000025445-24-000100.txt,0000025445,"Crane NXT, Co.  (CXT)  (CIK 0000025445)",NYSE,3490,,,,WALTHAM,"NXT, CO. 950 WINTER STREET, 4TH FLOOR NORTH",CRANE,DE,,,3490,"Miscellaneous Fabricated Metal Products"
2024-06-28,2024-07-02,8-K,,,,0001402829-24-000049,https://www.sec.gov/Archives/edgar/data/1402829/000140282924000049/0001402829-24-000049.txt,0001402829,"Orion Group Holdings Inc  (ORN)  (CIK 0001402829)",NYSE,1600,,,,Houston,"RIVERBY ROAD SUITE 400",2940,,,,1600,"Heavy Construction Other Than Bldg Const - Contractors"
2024-06-07,2024-06-07,8-K,,,,0001193125-24-156656,https://www.sec.gov/Archives/edgar/data/716314/000119312524156656/0001193125-24-156656.txt,0000716314,"GRAHAM CORP  (GHM)  (CIK 0000716314)",NYSE,3560,,,,BATAVIA,"FLORENCE AVE",20,DE,,,3560,"General Industrial Machinery & Equipment"
2024-02-09,2024-02-15,8-K,,,,0001493152-24-006877,https://www.sec.gov/Archives/edgar/data/1498067/000149315224006877/0001493152-24-006877.txt,0001498067,"CITRINE GLOBAL, CORP.  (CTGL)  (CIK 0001498067)",,7372,,,,"TEL AVIV","JABOTINSKY ST., ATRIUM TOWER RAMAT GAN",2,DE,,,7372,"Services-Prepackaged Software"
2024-08-06,2024-08-06,8-K,,,,0001213900-24-065747,https://www.sec.gov/Archives/edgar/data/1828805/000121390024065747/0001213900-24-065747.txt,0001828805,"Aeluma, Inc.  (ALMU)  (CIK 0001828805)",Nasdaq,3674,,,,GOLETA,"CASTILIAN DRIVE",27,DE,,,3674,"Semiconductors & Related Devices"
1970-01-01,2024-12-13,8-K,,,,0000950103-24-017767,https://www.sec.gov/Archives/edgar/data/1100682/000095010324017767/0000950103-24-017767.txt,0001100682,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.  (CRL)  (CIK 0001100682)",NYSE,8731,,,,WILMINGTON,"BALLARDVALE ST",251,,,,8731,"Services-Commercial Physical & Biological Research"
2024-09-12,2024-09-12,8-K,,,,0001193125-24-217986,https://www.sec.gov/Archives/edgar/data/1455863/000119312524217986/0001193125-24-217986.txt,0001455863,"AMERICOLD REALTY TRUST  (COLD)  (CIK 0001455863)",NYSE,6798,,,,Atlanta,"Glenlake Pkwy., Suite 800 S. Tower",10,MD,,,6798,"Real Estate Investment Trusts"
1970-01-01,2024-04-26,8-K,,,later,0001193125-24-116833,https://www.sec.gov/Archives/edgar/data/1067983/000119312524116833/0001193125-24-116833.txt,0001067983,"BERKSHIRE HATHAWAY INC  (BRK-A, BRK-B)  (CIK 0001067983)",NYSE,6331,,,,OMAHA,"FARNAM STREET",3555,DE,,,6331,"Fire, Marine & Casualty Insurance"
2024-03-18,2024-03-21,8-K,,,,0001522727-24-000017,https://www.sec.gov/Archives/edgar/data/1522727/000152272724000017/0001522727-24-000017.txt,0001522727,"USA Compression Partners, LP  (USAC)  (CIK 0001522727)",NYSE,4922,,,,DALLAS,"PRESTON ROAD SUITE 510A",8117,,,,4922,"Natural Gas Transmission"
2024-02-22,2024-02-27,8-K,,,,0000885725-24-000025,https://www.sec.gov/Archives/edgar/data/885725/000088572524000025/0000885725-24-000025.txt,0000885725,"BOSTON SCIENTIFIC CORP  (BSX)  (CIK 0000885725)",NYSE,3841,,,,MARLBOROUGH,"BOSTON SCIENTIFIC WAY",300,DE,,,3841,"Surgical & Medical Instruments & Apparatus"
2024-06-03,2024-06-03,8-K,,,later,0001193125-24-152334,https://www.sec.gov/Archives/edgar/data/1613103/000119312524152334/0001193125-24-152334.txt,0001613103,"Medtronic plc  (MDT)  (CIK 0001613103)",NYSE,3845,,,,GALWAY,"TWO PARKMORE BUSINESS PARK WEST",BUILDING,,,,3845,"Electromedical & Electrotherapeutic Apparatus"
,2024-06-06,8-K,,,,0000101199-24-000043,,0000101199,"UNITED FIRE GROUP INC  (UFCS)  (CIK 0000101199)",Nasdaq,6331,,,,"CEDAR RAPIDS","SECOND AVE SE",118,,,,6331,"Fire, Marine & Casualty Insurance"
2024-10-18,2024-10-18,8-K,"Chapter 11",,,0000950142-24-002601,https://www.sec.gov/Archives/edgar/data/1783180/000095014224002601/0000950142-24-002601.txt,0001783180,"CARRIER GLOBAL Corp  (CARR)  (CIK 0001783180)",NYSE,3585,,,,"PALM BEACH GARDENS","PASTEUR BOULEVARD",13995,DE,,,3585,"Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip"
