[10:04:53] Starting annual report AI processing…
[10:04:53] Reading report CSV files …
[10:04:53] Fetching 200 annual report(s)…
[10:04:53]   Downloading report for CIK 0001735707 (2024)…
[10:04:57]   Downloading report for CIK 0000081018 (2024)…
[10:04:57]   Truncated report for CIK 0000081018 to 50016 characters.
[10:04:57]   Downloading report for CIK 0001175535 (2024)…
[10:04:58]   Truncated report for CIK 0001175535 to 49967 characters.
[10:04:58]   Downloading report for CIK 0001367644 (2024)…
[10:04:58]   Truncated report for CIK 0001367644 to 49853 characters.
[10:04:58]   Downloading report for CIK 0001847355 (2024)…
[10:04:58]   Truncated report for CIK 0001847355 to 49945 characters.
[10:04:58]   Downloading report for CIK 0001771514 (2024)…
[10:04:58]   Truncated report for CIK 0001771514 to 50016 characters.
[10:04:58]   Downloading report for CIK 0001477845 (2024)…
[10:04:58]   Truncated report for CIK 0001477845 to 50015 characters.
[10:04:58]   Downloading report for CIK 0000100726 (2024)…
[10:04:59]   Truncated report for CIK 0000100726 to 50016 characters.
[10:04:59]   Downloading report for CIK 0001492422 (2024)…
[10:04:59]   Truncated report for CIK 0001492422 to 50016 characters.
[10:04:59]   Downloading report for CIK 0001534701 (2024)…
[10:04:59]   Truncated report for CIK 0001534701 to 50016 characters.
[10:04:59]   Downloading report for CIK 0001736946 (2024)…
[10:04:59]   Truncated report for CIK 0001736946 to 50016 characters.
[10:04:59]   Downloading report for CIK 0001130310 (2024)…
[10:04:59]   Truncated report for CIK 0001130310 to 50016 characters.
[10:04:59]   Downloading report for CIK 0001093691 (2024)…
[10:04:59]   Truncated report for CIK 0001093691 to 49827 characters.
[10:04:59]   Downloading report for CIK 0001609809 (2024)…
[10:05:00]   Truncated report for CIK 0001609809 to 50016 characters.
[10:05:00]   Downloading report for CIK 0001972529 (2024)…
[10:05:00]   Truncated report for CIK 0001972529 to 50010 characters.
[10:05:00]   Downloading report for CIK 0000092122 (2024)…
[10:05:00]   Truncated report for CIK 0000092122 to 50016 characters.
[10:05:00]   Downloading report for CIK 0000783324 (2024)…
[10:05:00]   Truncated report for CIK 0000783324 to 49993 characters.
[10:05:00]   Downloading report for CIK 0000065984 (2024)…
[10:05:00]   Truncated report for CIK 0000065984 to 50016 characters.
[10:05:00]   Downloading report for CIK 0001347242 (2024)…
[10:05:01]   Truncated report for CIK 0001347242 to 49953 characters.
[10:05:01]   Downloading report for CIK 0001355848 (2024)…
[10:05:01]   Truncated report for CIK 0001355848 to 49946 characters.
[10:05:01]   Downloading report for CIK 0000078890 (2024)…
[10:05:01]   Truncated report for CIK 0000078890 to 50016 characters.
[10:05:01]   Downloading report for CIK 0000813672 (2024)…
[10:05:01]   Truncated report for CIK 0000813672 to 49990 characters.
[10:05:01]   Downloading report for CIK 0001842952 (2024)…
[10:05:01]   Truncated report for CIK 0001842952 to 49826 characters.
[10:05:01]   Downloading report for CIK 0001816017 (2024)…
[10:05:01]   Truncated report for CIK 0001816017 to 49999 characters.
[10:05:01]   Downloading report for CIK 0001383650 (2024)…
[10:05:02]   Truncated report for CIK 0001383650 to 50012 characters.
[10:05:02]   Downloading report for CIK 0000016918 (2024)…
[10:05:02]   Truncated report for CIK 0000016918 to 50016 characters.
[10:05:02]   Downloading report for CIK 0000035527 (2024)…
[10:05:02]   Truncated report for CIK 0000035527 to 50016 characters.
[10:05:02]   Downloading report for CIK 0001698990 (2024)…
[10:05:02]   Truncated report for CIK 0001698990 to 50016 characters.
[10:05:02]   Downloading report for CIK 0000828944 (2024)…
[10:05:02]   Truncated report for CIK 0000828944 to 50016 characters.
[10:05:02]   Downloading report for CIK 0000813828 (2024)…
[10:05:02]   Truncated report for CIK 0000813828 to 50016 characters.
[10:05:02]   Downloading report for CIK 0000784977 (2024)…
[10:05:03]   Truncated report for CIK 0000784977 to 50016 characters.
[10:05:03]   Downloading report for CIK 0001730773 (2024)…
[10:05:03]   Truncated report for CIK 0001730773 to 49933 characters.
[10:05:03]   Downloading report for CIK 0001823652 (2024)…
[10:05:03]   Truncated report for CIK 0001823652 to 49924 characters.
[10:05:03]   Downloading report for CIK 0001808834 (2024)…
[10:05:03]   Truncated report for CIK 0001808834 to 50016 characters.
[10:05:03]   Downloading report for CIK 0001597033 (2024)…
[10:05:03]   Truncated report for CIK 0001597033 to 50016 characters.
[10:05:03]   Downloading report for CIK 0001898766 (2024)…
[10:05:03]   Truncated report for CIK 0001898766 to 49956 characters.
[10:05:03]   Downloading report for CIK 0001356090 (2024)…
[10:05:04]   Truncated report for CIK 0001356090 to 50015 characters.
[10:05:04]   Downloading report for CIK 0001879848 (2024)…
[10:05:04]   Truncated report for CIK 0001879848 to 49931 characters.
[10:05:04]   Downloading report for CIK 0001340476 (2024)…
[10:05:04]   Truncated report for CIK 0001340476 to 50016 characters.
[10:05:04]   Downloading report for CIK 0001880343 (2024)…
[10:05:04]   Truncated report for CIK 0001880343 to 50009 characters.
[10:05:04]   Downloading report for CIK 0001675033 (2024)…
[10:05:04]   Truncated report for CIK 0001675033 to 50016 characters.
[10:05:04]   Downloading report for CIK 0001496099 (2024)…
[10:05:04]   Truncated report for CIK 0001496099 to 50016 characters.
[10:05:04]   Downloading report for CIK 0001705873 (2024)…
[10:05:05]   Truncated report for CIK 0001705873 to 50016 characters.
[10:05:05]   Downloading report for CIK 0000025445 (2024)…
[10:05:05]   Truncated report for CIK 0000025445 to 50008 characters.
[10:05:05]   Downloading report for CIK 0001402829 (2024)…
[10:05:05]   Truncated report for CIK 0001402829 to 50015 characters.
[10:05:05]   Downloading report for CIK 0000716314 (2024)…
[10:05:05]   Truncated report for CIK 0000716314 to 50015 characters.
[10:05:05]   Downloading report for CIK 0001498067 (2024)…
[10:05:05]   Truncated report for CIK 0001498067 to 49895 characters.
[10:05:05]   Downloading report for CIK 0001828805 (2024)…
[10:05:05]   Truncated report for CIK 0001828805 to 49892 characters.
[10:05:05]   Downloading report for CIK 0001100682 (2024)…
[10:05:06]   Truncated report for CIK 0001100682 to 49886 characters.
[10:05:06]   Downloading report for CIK 0001455863 (2024)…
[10:05:06]   Truncated report for CIK 0001455863 to 50016 characters.
[10:05:06]   Downloading report for CIK 0001067983 (2024)…
[10:05:06]   Truncated report for CIK 0001067983 to 50016 characters.
[10:05:06]   Downloading report for CIK 0001522727 (2024)…
[10:05:06]   Truncated report for CIK 0001522727 to 49857 characters.
[10:05:06]   Downloading report for CIK 0000885725 (2024)…
[10:05:06]   Truncated report for CIK 0000885725 to 50016 characters.
[10:05:06]   Downloading report for CIK 0001613103 (2024)…
[10:05:07]   Truncated report for CIK 0001613103 to 50016 characters.
[10:05:07]   Downloading report for CIK 0000101199 (2024)…
[10:05:07]   Truncated report for CIK 0000101199 to 50016 characters.
[10:05:07]   Downloading report for CIK 0001783180 (2024)…
[10:05:07]   Truncated report for CIK 0001783180 to 49963 characters.
[10:05:07]   Downloading report for CIK 0001795091 (2024)…
[10:05:07]   Truncated report for CIK 0001795091 to 49976 characters.
[10:05:07]   Downloading report for CIK 0001878897 (2024)…
[10:05:07]   Truncated report for CIK 0001878897 to 50016 characters.
[10:05:07]   Downloading report for CIK 0001133421 (2024)…
[10:05:07]   Truncated report for CIK 0001133421 to 50015 characters.
[10:05:07]   Downloading report for CIK 0001130598 (2024)…
[10:05:07]   Truncated report for CIK 0001130598 to 50016 characters.
[10:05:07]   Downloading report for CIK 0001849635 (2024)…
[10:05:08]   Truncated report for CIK 0001849635 to 49982 characters.
[10:05:08]   Downloading report for CIK 0000108985 (2024)…
[10:05:08]   Truncated report for CIK 0000108985 to 49879 characters.
[10:05:08]   Downloading report for CIK 0000352541 (2024)…
[10:05:08]   Truncated report for CIK 0000352541 to 50016 characters.
[10:05:08]   Downloading report for CIK 0001423774 (2024)…
[10:05:08]   Truncated report for CIK 0001423774 to 49999 characters.
[10:05:08]   Downloading report for CIK 0001819974 (2024)…
[10:05:08]   Truncated report for CIK 0001819974 to 50016 characters.
[10:05:08]   Downloading report for CIK 0001725911 (2024)…
[10:05:08]   Truncated report for CIK 0001725911 to 49955 characters.
[10:05:08]   Downloading report for CIK 0001881551 (2024)…
[10:05:09]   Truncated report for CIK 0001881551 to 49990 characters.
[10:05:09]   Downloading report for CIK 0001580670 (2024)…
[10:05:09]   Truncated report for CIK 0001580670 to 50016 characters.
[10:05:09]   Downloading report for CIK 0000049826 (2024)…
[10:05:09]   Truncated report for CIK 0000049826 to 50014 characters.
[10:05:09]   Downloading report for CIK 0001719406 (2024)…
[10:05:09]   Truncated report for CIK 0001719406 to 50016 characters.
[10:05:09]   Downloading report for CIK 0000795403 (2024)…
[10:05:09]   Truncated report for CIK 0000795403 to 50016 characters.
[10:05:09]   Downloading report for CIK 0001534708 (2024)…
[10:05:09]   Truncated report for CIK 0001534708 to 50013 characters.
[10:05:09]   Downloading report for CIK 0001800315 (2024)…
[10:05:10]   Truncated report for CIK 0001800315 to 50015 characters.
[10:05:10]   Downloading report for CIK 0001635327 (2024)…
[10:05:10]   Truncated report for CIK 0001635327 to 50004 characters.
[10:05:10]   Downloading report for CIK 0001001250 (2024)…
[10:05:10]   Truncated report for CIK 0001001250 to 50016 characters.
[10:05:10]   Downloading report for CIK 0001567892 (2024)…
[10:05:10]   Truncated report for CIK 0001567892 to 50016 characters.
[10:05:10]   Downloading report for CIK 0001852019 (2024)…
[10:05:10]   Truncated report for CIK 0001852019 to 50016 characters.
[10:05:10]   Downloading report for CIK 0001350102 (2024)…
[10:05:11]   Truncated report for CIK 0001350102 to 50016 characters.
[10:05:11]   Downloading report for CIK 0001120970 (2024)…
[10:05:11]   Truncated report for CIK 0001120970 to 50014 characters.
[10:05:11]   Downloading report for CIK 0001623526 (2024)…
[10:05:11]   Truncated report for CIK 0001623526 to 49848 characters.
[10:05:11]   Downloading report for CIK 1455684 (2024)…
[10:05:11]   Truncated report for CIK 1455684 to 50016 characters.
[10:05:11]   Downloading report for CIK 1136893 (2024)…
[10:05:11]   Truncated report for CIK 1136893 to 50006 characters.
[10:05:11]   Downloading report for CIK 320017 (2024)…
[10:05:11]   Truncated report for CIK 320017 to 49962 characters.
[10:05:11]   Downloading report for CIK 1652044 (2024)…
[10:05:12]   Truncated report for CIK 1652044 to 49960 characters.
[10:05:12]   Downloading report for CIK 1840502 (2024)…
[10:05:12]   Truncated report for CIK 1840502 to 50016 characters.
[10:05:12]   Downloading report for CIK 1551182 (2024)…
[10:05:12]   Truncated report for CIK 1551182 to 50016 characters.
[10:05:12]   Downloading report for CIK 94049 (2024)…
[10:05:12]   Truncated report for CIK 94049 to 50016 characters.
[10:05:12]   Downloading report for CIK 1376231 (2024)…
[10:05:12]   Truncated report for CIK 1376231 to 49953 characters.
[10:05:12]   Downloading report for CIK 1070680 (2024)…
[10:05:12]   Truncated report for CIK 1070680 to 50016 characters.
[10:05:12]   Downloading report for CIK 1889112 (2024)…
[10:05:13]   Truncated report for CIK 1889112 to 49888 characters.
[10:05:13]   Downloading report for CIK 1627475 (2024)…
[10:05:13]   Truncated report for CIK 1627475 to 50016 characters.
[10:05:13]   Downloading report for CIK 731012 (2024)…
[10:05:13]   Truncated report for CIK 731012 to 50016 characters.
[10:05:13]   Downloading report for CIK 916789 (2024)…
[10:05:13]   Truncated report for CIK 916789 to 50016 characters.
[10:05:13]   Downloading report for CIK 1746473 (2024)…
[10:05:13]   Truncated report for CIK 1746473 to 50016 characters.
[10:05:13]   Downloading report for CIK 1806201 (2024)…
[10:05:13]   Truncated report for CIK 1806201 to 49974 characters.
[10:05:13]   Downloading report for CIK 1300514 (2024)…
[10:05:14]   Truncated report for CIK 1300514 to 50016 characters.
[10:05:14]   Downloading report for CIK 875729 (2024)…
[10:05:14]   Truncated report for CIK 875729 to 49952 characters.
[10:05:14]   Downloading report for CIK 1424768 (2024)…
[10:05:14]   Truncated report for CIK 1424768 to 50008 characters.
[10:05:14]   Downloading report for CIK 1328581 (2024)…
[10:05:14]   Truncated report for CIK 1328581 to 49949 characters.
[10:05:14]   Downloading report for CIK 1053352 (2024)…
[10:05:14]   Truncated report for CIK 1053352 to 49937 characters.
[10:05:14]   Downloading report for CIK 1845123 (2024)…
[10:05:14]   Truncated report for CIK 1845123 to 49931 characters.
[10:05:14]   Downloading report for CIK 1423689 (2024)…
[10:05:15]   Truncated report for CIK 1423689 to 49899 characters.
[10:05:15]   Downloading report for CIK 1138476 (2024)…
[10:05:15]   Truncated report for CIK 1138476 to 49994 characters.
[10:05:15]   Downloading report for CIK 1874315 (2024)…
[10:05:15]   Truncated report for CIK 1874315 to 50015 characters.
[10:05:15]   Downloading report for CIK 1041803 (2024)…
[10:05:15]   Truncated report for CIK 1041803 to 50015 characters.
[10:05:15]   Downloading report for CIK 1858007 (2024)…
[10:05:15]   Truncated report for CIK 1858007 to 49960 characters.
[10:05:15]   Downloading report for CIK 1326200 (2024)…
[10:05:15]   Truncated report for CIK 1326200 to 49923 characters.
[10:05:15]   Downloading report for CIK 1639068 (2024)…
[10:05:16]   Truncated report for CIK 1639068 to 49899 characters.
[10:05:16]   Downloading report for CIK 1703625 (2024)…
[10:05:16]   Truncated report for CIK 1703625 to 50013 characters.
[10:05:16]   Downloading report for CIK 1444380 (2024)…
[10:05:16]   Truncated report for CIK 1444380 to 50015 characters.
[10:05:16]   Downloading report for CIK 1812360 (2024)…
[10:05:16]   Truncated report for CIK 1812360 to 49957 characters.
[10:05:16]   Downloading report for CIK 1125345 (2024)…
[10:05:16]   Truncated report for CIK 1125345 to 50015 characters.
[10:05:16]   Downloading report for CIK 1822479 (2024)…
[10:05:16]   Truncated report for CIK 1822479 to 49983 characters.
[10:05:16]   Downloading report for CIK 1081938 (2024)…
[10:05:17]   Truncated report for CIK 1081938 to 50016 characters.
[10:05:17]   Downloading report for CIK 1015328 (2024)…
[10:05:17]   Truncated report for CIK 1015328 to 50016 characters.
[10:05:17]   Downloading report for CIK 1583648 (2024)…
[10:05:17]   Truncated report for CIK 1583648 to 49905 characters.
[10:05:17]   Downloading report for CIK 1037540 (2024)…
[10:05:17]   Truncated report for CIK 1037540 to 50016 characters.
[10:05:17]   Downloading report for CIK 72903 (2024)…
[10:05:17]   Truncated report for CIK 72903 to 50016 characters.
[10:05:17]   Downloading report for CIK 1844452 (2024)…
[10:05:17]   Truncated report for CIK 1844452 to 49860 characters.
[10:05:17]   Downloading report for CIK 730708 (2024)…
[10:05:18]   Truncated report for CIK 730708 to 50016 characters.
[10:05:18]   Downloading report for CIK 3197 (2024)…
[10:05:18]   Truncated report for CIK 3197 to 49902 characters.
[10:05:18]   Downloading report for CIK 1725210 (2024)…
[10:05:18]   Truncated report for CIK 1725210 to 49848 characters.
[10:05:18]   Downloading report for CIK 1903392 (2024)…
[10:05:18]   Truncated report for CIK 1903392 to 49942 characters.
[10:05:18]   Downloading report for CIK 789460 (2024)…
[10:05:18]   Truncated report for CIK 789460 to 50015 characters.
[10:05:18]   Downloading report for CIK 1022671 (2024)…
[10:05:18]   Truncated report for CIK 1022671 to 50016 characters.
[10:05:18]   Downloading report for CIK 1809750 (2024)…
[10:05:19]   Truncated report for CIK 1809750 to 49995 characters.
[10:05:19]   Downloading report for CIK 1424404 (2024)…
[10:05:19]   Truncated report for CIK 1424404 to 49935 characters.
[10:05:19]   Downloading report for CIK 896493 (2024)…
[10:05:19]   Truncated report for CIK 896493 to 50010 characters.
[10:05:19]   Downloading report for CIK 1841156 (2024)…
[10:05:19]   Truncated report for CIK 1841156 to 50016 characters.
[10:05:19]   Downloading report for CIK 1824403 (2024)…
[10:05:19]   Truncated report for CIK 1824403 to 50016 characters.
[10:05:19]   Downloading report for CIK 1043000 (2024)…
[10:05:19]   Truncated report for CIK 1043000 to 49913 characters.
[10:05:19]   Downloading report for CIK 230557 (2024)…
[10:05:20]   Truncated report for CIK 230557 to 50016 characters.
[10:05:20]   Downloading report for CIK 1835268 (2024)…
[10:05:20]   Truncated report for CIK 1835268 to 49864 characters.
[10:05:20]   Downloading report for CIK 73124 (2024)…
[10:05:20]   Truncated report for CIK 73124 to 50016 characters.
[10:05:20]   Downloading report for CIK 1487712 (2024)…
[10:05:20]   Truncated report for CIK 1487712 to 50016 characters.
[10:05:20]   Downloading report for CIK 1824502 (2024)…
[10:05:20]   Truncated report for CIK 1824502 to 50016 characters.
[10:05:20]   Downloading report for CIK 1400810 (2024)…
[10:05:20]   Truncated report for CIK 1400810 to 50016 characters.
[10:05:20]   Downloading report for CIK 1501585 (2024)…
[10:05:21]   Truncated report for CIK 1501585 to 49889 characters.
[10:05:21]   Downloading report for CIK 7623 (2024)…
[10:05:21]   Truncated report for CIK 7623 to 50015 characters.
[10:05:21]   Downloading report for CIK 1093557 (2024)…
[10:05:21]   Truncated report for CIK 1093557 to 50016 characters.
[10:05:21]   Downloading report for CIK 850209 (2024)…
[10:05:21]   Truncated report for CIK 850209 to 50008 characters.
[10:05:21]   Downloading report for CIK 1267565 (2024)…
[10:05:21]   Truncated report for CIK 1267565 to 50016 characters.
[10:05:21]   Downloading report for CIK 1311370 (2024)…
[10:05:21]   Truncated report for CIK 1311370 to 50016 characters.
[10:05:21]   Downloading report for CIK 1083301 (2024)…
[10:05:21]   Downloading report for CIK 1802974 (2024)…
[10:05:22]   Truncated report for CIK 1802974 to 49893 characters.
[10:05:22]   Downloading report for CIK 1852016 (2024)…
[10:05:22]   Truncated report for CIK 1852016 to 50015 characters.
[10:05:22]   Downloading report for CIK 1017480 (2024)…
[10:05:22]   Truncated report for CIK 1017480 to 49972 characters.
[10:05:22]   Downloading report for CIK 1563411 (2024)…
[10:05:22]   Truncated report for CIK 1563411 to 50013 characters.
[10:05:22]   Downloading report for CIK 1398987 (2024)…
[10:05:22]   Truncated report for CIK 1398987 to 50013 characters.
[10:05:22]   Downloading report for CIK 1158324 (2024)…
[10:05:22]   Truncated report for CIK 1158324 to 50016 characters.
[10:05:22]   Downloading report for CIK 1671927 (2024)…
[10:05:23]   Truncated report for CIK 1671927 to 50016 characters.
[10:05:23]   Downloading report for CIK 1393311 (2024)…
[10:05:23]   Truncated report for CIK 1393311 to 50016 characters.
[10:05:23]   Downloading report for CIK 949961 (2024)…
[10:05:23]   Truncated report for CIK 949961 to 49976 characters.
[10:05:23]   Downloading report for CIK 1476765 (2024)…
[10:05:23]   Truncated report for CIK 1476765 to 50015 characters.
[10:05:23]   Downloading report for CIK 51644 (2024)…
[10:05:23]   Truncated report for CIK 51644 to 49994 characters.
[10:05:23]   Downloading report for CIK 880641 (2024)…
[10:05:24]   Truncated report for CIK 880641 to 50016 characters.
[10:05:24]   Downloading report for CIK 72971 (2024)…
[10:05:24]   Truncated report for CIK 72971 to 50016 characters.
[10:05:24]   Downloading report for CIK 1710155 (2024)…
[10:05:24]   Truncated report for CIK 1710155 to 49909 characters.
[10:05:24]   Downloading report for CIK 824142 (2024)…
[10:05:24]   Truncated report for CIK 824142 to 49874 characters.
[10:05:24]   Downloading report for CIK 1603345 (2024)…
[10:05:24]   Truncated report for CIK 1603345 to 49837 characters.
[10:05:24]   Downloading report for CIK 57131 (2024)…
[10:05:24]   Truncated report for CIK 57131 to 50016 characters.
[10:05:24]   Downloading report for CIK 779152 (2024)…
[10:05:24]   Truncated report for CIK 779152 to 49818 characters.
[10:05:24]   Downloading report for CIK 1865200 (2024)…
[10:05:25]   Truncated report for CIK 1865200 to 49870 characters.
[10:05:25]   Downloading report for CIK 1099160 (2024)…
[10:05:25]   Truncated report for CIK 1099160 to 50016 characters.
[10:05:25]   Downloading report for CIK 1556593 (2024)…
[10:05:25]   Truncated report for CIK 1556593 to 50016 characters.
[10:05:25]   Downloading report for CIK 914156 (2024)…
[10:05:25]   Truncated report for CIK 914156 to 50016 characters.
[10:05:25]   Downloading report for CIK 1709682 (2024)…
[10:05:25]   Truncated report for CIK 1709682 to 49947 characters.
[10:05:25]   Downloading report for CIK 16058 (2024)…
[10:05:25]   Truncated report for CIK 16058 to 49939 characters.
[10:05:25]   Downloading report for CIK 1679628 (2024)…
[10:05:26]   Truncated report for CIK 1679628 to 50005 characters.
[10:05:26]   Downloading report for CIK 1610940 (2024)…
[10:05:26]   Truncated report for CIK 1610940 to 49970 characters.
[10:05:26]   Downloading report for CIK 1144980 (2024)…
[10:05:26]   Truncated report for CIK 1144980 to 50016 characters.
[10:05:26]   Downloading report for CIK 1539850 (2024)…
[10:05:26]   Truncated report for CIK 1539850 to 50006 characters.
[10:05:26]   Downloading report for CIK 1584754 (2024)…
[10:05:26]   Downloading report for CIK 1481504 (2024)…
[10:05:26]   Truncated report for CIK 1481504 to 50016 characters.
[10:05:26]   Downloading report for CIK 1497649 (2024)…
[10:05:26]   Truncated report for CIK 1497649 to 49962 characters.
[10:05:26]   Downloading report for CIK 846913 (2024)…
[10:05:27]   Truncated report for CIK 846913 to 50016 characters.
[10:05:27]   Downloading report for CIK 1166003 (2024)…
[10:05:27]   Truncated report for CIK 1166003 to 50016 characters.
[10:05:27]   Downloading report for CIK 720858 (2024)…
[10:05:27]   Truncated report for CIK 720858 to 50016 characters.
[10:05:27]   Downloading report for CIK 1069878 (2024)…
[10:05:27]   Truncated report for CIK 1069878 to 50016 characters.
[10:05:27]   Downloading report for CIK 1580149 (2024)…
[10:05:27]   Truncated report for CIK 1580149 to 49974 characters.
[10:05:27]   Calling AI for batch 1 with 5 report(s)…
[10:05:34]   Raw AI response: {
  "id": "resp_68cd0ec8e07c819799d30c85221bcaea044e8100e62d2a29",
  "object": "response",
  "created_at": 1758269128,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0ecb300c81979e279546cdedea39044e8100e62d2a29",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0ecb6148819793fe3230d59a8c98044e8100e62d2a29",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
          "text": "[\n  {\"score\": 5, \"explanation\": \"Large-cap public device company (Arlo) with $1.26B market cap mid\u20112024, recurring subscription revenue, major distributor concentration risk but no signs of severe liquidity distress.\"},\n  {\"score\": 25, \"explanation\": \"Clinical\u2011stage biotech (Stoke) with promising Phase 3 candidate and partner (Biogen) but high cash burn, need for funding and clinical/regulatory risk.\"},\n  {\"score\": 3, \"explanation\": \"Wintrust (regional bank holding) with diversified banking assets, regulatory funding sources and scale; low near\u2011term bankruptcy risk.\"},\n  {\"score\": 8, \"explanation\": \"Delek Logistics (midstream MLP) with stable cash flows, material debt and credit constraints but predictable assets and financing access; moderate covenant risks but low imminent default likelihood.\"},\n  {\"score\": 40, \"explanation\": \"SPAC (Southport) with minimal operating history, depleted trust account, repeated extension/redemptions and reliance on completing a business combination making near\u2011term failure/liquidation risk elevated.\"}\n]"
        }
      ],
      "role": "assistant"
    }
  ],
  "parallel_tool_calls": true,
  "previous_response_id": null,
  "prompt_cache_key": null,
  "reasoning": {
    "effort": "minimal",
    "summary": null
  },
  "safety_identifier": null,
  "service_tier": "default",
  "store": true,
  "temperature": 1.0,
  "text": {
    "format": {
      "type": "text"
    },
    "verbosity": "low"
  },
  "tool_choice": "auto",
  "tools": [],
  "top_logprobs": 0,
  "top_p": 1.0,
  "truncation": "disabled",
  "usage": {
    "input_tokens": 65529,
    "input_tokens_details": {
      "cached_tokens": 0
    },
    "output_tokens": 243,
    "output_tokens_details": {
      "reasoning_tokens": 0
    },
    "total_tokens": 65772
  },
  "user": null,
  "metadata": {}
}
[10:05:34]   Parsed 5 result(s).
[10:05:34]   Calling AI for batch 2 with 5 report(s)…
[10:05:41]   Raw AI response: {
  "id": "resp_68cd0ecfa8ac8195a5fddb3c0ef0d2bb0afb1e302f6b801f",
  "object": "response",
  "created_at": 1758269135,
  "status": "completed",
  "background": false,
  "billing": {
    "payer": "developer"
  },
  "error": null,
  "incomplete_details": null,
  "instructions": null,
  "max_output_tokens": null,
  "max_tool_calls": null,
  "model": "gpt-5-mini-2025-08-07",
  "output": [
    {
      "id": "rs_68cd0ed20dc88195aabd6241aed713140afb1e302f6b801f",
      "type": "reasoning",
      "summary": []
    },
    {
      "id": "msg_68cd0ed230a88195bc739081875e73240afb1e302f6b801f",
      "type": "message",
      "status": "completed",
      "content": [
        {
          "type": "output_text",
          "annotations": [],
          "logprobs": [],
